method,MRR,MAP,R-Precision,Hit@1,Hit@5,Hit@10,Recall@1,Recall@5,Recall@10,NDCG@10,Mean Rank,Median Rank,n_queries
tfidf,0.09145570585068111,0.07374929156119149,0.046556886227544905,0.04790419161676647,0.12425149700598802,0.15868263473053892,0.03917165668662675,0.08984530938123751,0.12103293413173652,0.08171911715753051,230.0449101796407,159.0,668
bm25,0.0835372118015685,0.06658083692097581,0.03982035928143713,0.041916167664670656,0.11377245508982035,0.15868263473053892,0.03153692614770459,0.08373253493013971,0.12432634730538922,0.07708630216449601,231.41616766467067,164.0,668
