method,doc_variant,MRR,MRR@10,MAP,MAP@10,R-Precision,Hit@1,Hit@5,Hit@10,Recall@1,Recall@5,Recall@10,Recall@50,Recall@100,NDCG@10,Mean Rank,Median Rank,n_queries
tfidf,raw,0.09145570585068111,0.08047476475620187,0.07374929156119149,0.06326076022558058,0.046556886227544905,0.04790419161676647,0.12425149700598802,0.15868263473053892,0.03917165668662675,0.08984530938123751,0.12103293413173652,0.23977045908183636,0.31197604790419164,0.08171911715753051,230.0449101796407,159.0,668
bm25,raw,0.0835372118015685,0.07302121946583025,0.06658083692097581,0.05668736930900105,0.03982035928143713,0.041916167664670656,0.11377245508982035,0.15868263473053892,0.03153692614770459,0.08373253493013971,0.12432634730538922,0.23408183632734528,0.3152195608782435,0.07708630216449601,231.41616766467067,164.0,668
tfidf,title,0.032713707304968934,0.025515635395874918,0.02736375360991733,0.020759730538922154,0.014520958083832334,0.017964071856287425,0.0344311377245509,0.04640718562874251,0.01372255489021956,0.029491017964071855,0.03827345309381237,0.08992015968063871,0.16112774451097803,0.026163640497467062,300.122754491018,283.0,668
bm25,title,0.02986307212243731,0.022415288470677693,0.026518166895519907,0.019435830719513356,0.01621756487025948,0.014970059880239521,0.03293413173652695,0.038922155688622756,0.012475049900199599,0.02644710578842315,0.031686626746506984,0.09109281437125748,0.17005988023952096,0.023192391051824704,297.1556886227545,267.0,668
tfidf,first_sentence,0.038237056829745424,0.02998764376009885,0.027549630642626548,0.019911209327376993,0.01372255489021956,0.017964071856287425,0.04491017964071856,0.07035928143712575,0.011976047904191617,0.028942115768463072,0.04563373253493014,0.12003493013972057,0.18882235528942115,0.02847122485815848,286.12125748502996,261.0,668
bm25,first_sentence,0.03311540343663486,0.02425268510597852,0.025174134119204352,0.01725919193359313,0.012450099800399201,0.014970059880239521,0.038922155688622756,0.058383233532934134,0.011102794411177645,0.02592315369261477,0.038273453093812373,0.12090818363273453,0.18894710578842314,0.024058445328560038,285.92215568862275,255.0,668
tfidf,first_50,0.054811168804604585,0.046100655831194756,0.04203517626301965,0.03365966479738935,0.02213073852295409,0.025449101796407185,0.0718562874251497,0.11377245508982035,0.01896207584830339,0.05244510978043912,0.07919161676646708,0.16399700598802394,0.24493512974051898,0.04775522956844499,261.16766467065867,219.5,668
bm25,first_50,0.05109307441454263,0.041069646421442826,0.03968416628705489,0.030726641954186864,0.019510978043912174,0.023952095808383235,0.06736526946107785,0.08532934131736528,0.017639720558882237,0.051197604790419154,0.062300399201596794,0.15459081836327346,0.24176646706586827,0.04099143070627628,263.6047904191617,212.5,668
