run_id,model_alias,model_id,instruction_variant,corpus_config,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,Mean_Rank,Median_Rank,n_queries,error
all-MiniLM-L6-v2__no_instr__raw,all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,no_instr,raw,0.067758,0.095177,0.089384,0.091417,0.141841,0.16754,0.273628,0.386277,0.550574,0.673353,0.052395,0.116766,0.179641,0.482036,176.69,106.0,668,
all-MiniLM-L6-v2__general__raw,all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,general,raw,0.045654,0.066892,0.06211,0.069661,0.102295,0.129242,0.224651,0.327745,0.470284,0.598378,0.028443,0.086826,0.127246,0.408683,213.06,153.0,668,
all-MiniLM-L6-v2__moral_specific__raw,all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,moral_specific,raw,0.027735,0.04499,0.041325,0.053019,0.074326,0.094835,0.164047,0.272355,0.429316,0.55731,0.010479,0.071856,0.10479,0.359281,235.16,179.5,668,
