run_id,model_alias,model_id,instruction_variant,corpus_config,summary_generator,summary_generator_model_id,generator_prompt_variant,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,Mean_Rank,Median_Rank,n_queries,error
GTE-Qwen2-1.5B__no_instr__raw,GTE-Qwen2-1.5B,Alibaba-NLP/gte-Qwen2-1.5B-instruct,no_instr,raw,,,,0.002588,0.012169,0.004484,0.004117,0.009281,0.019511,0.086652,0.14496,0.291891,0.431387,0.001497,0.005988,0.013473,0.208084,301.13,271.5,668,
GTE-Qwen2-7B__no_instr__raw,GTE-Qwen2-7B,Alibaba-NLP/gte-Qwen2-7B-instruct,no_instr,raw,,,,0.002325,0.013075,0.00517,0.004242,0.010654,0.017715,0.068688,0.133184,0.27525,0.435729,0.0,0.010479,0.020958,0.203593,301.41,276.0,668,
GritLM-7B__default__raw,GritLM-7B,GritLM/GritLM-7B,default,raw,,,,0.004302,0.013071,0.007064,0.007485,0.014222,0.020958,0.072106,0.143962,0.289197,0.430264,0.001497,0.011976,0.019461,0.200599,307.4,281.5,668,
SFR-Embedding-Mistral__no_instr__raw,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,no_instr,raw,,,,0.144802,0.199236,0.181912,0.193388,0.251771,0.282934,0.437799,0.539621,0.70756,0.811801,0.13024,0.260479,0.321856,0.634731,115.97,44.0,668,
Stella-1.5B__default__raw,Stella-1.5B,NovaSearch/stella_en_1.5B_v5,default,raw,,,,0.004302,0.013071,0.007064,0.007485,0.014222,0.020958,0.072106,0.143962,0.289197,0.430264,0.001497,0.011976,0.019461,0.200599,307.4,281.5,668,
