query_idx,gt_rank,score_gap,gt_score,top1_score
248,2,0.0656,0.7145,0.7801
249,80,0.2296,0.3742,0.6038
251,341,0.1825,0.3155,0.4980
254,21,0.1351,0.4742,0.6093
255,43,0.1618,0.4602,0.6221
256,195,0.1935,0.3513,0.5448
257,2,0.0029,0.7245,0.7275
258,4,0.0976,0.5208,0.6184
260,3,0.0795,0.6470,0.7265
261,21,0.0793,0.4866,0.5658
263,76,0.1137,0.3269,0.4406
264,11,0.1642,0.5449,0.7091
265,44,0.2081,0.4507,0.6587
266,4,0.0836,0.5950,0.6786
267,211,0.3061,0.2981,0.6042
268,26,0.1008,0.4466,0.5474
269,7,0.0888,0.5613,0.6500
271,23,0.2293,0.4537,0.6829
272,3,0.1181,0.5662,0.6843
274,51,0.1382,0.5026,0.6408
276,3,0.0448,0.5141,0.5589
278,76,0.4864,0.3255,0.8118
279,3,0.0614,0.6715,0.7329
280,266,0.3264,0.2681,0.5945
281,2,0.0595,0.7465,0.8060
283,2,0.0505,0.5963,0.6467
286,240,0.3049,0.3939,0.6988
287,17,0.1013,0.4718,0.5731
290,9,0.1556,0.6107,0.7663
291,17,0.0728,0.5704,0.6432
293,2,0.0213,0.7357,0.7569
294,19,0.1194,0.5586,0.6780
295,2,0.0193,0.6200,0.6394
296,13,0.1451,0.4258,0.5709
297,457,0.3353,0.3030,0.6383
298,9,0.1744,0.5790,0.7534
299,3,0.0917,0.7022,0.7939
300,52,0.1511,0.4677,0.6187
303,176,0.2670,0.3561,0.6231
304,3,0.0487,0.5131,0.5618
305,6,0.0934,0.6025,0.6959
306,4,0.0420,0.6462,0.6882
308,17,0.0870,0.4768,0.5638
309,3,0.0171,0.6209,0.6380
310,21,0.1056,0.4970,0.6026
311,2,0.0009,0.6588,0.6596
312,7,0.0900,0.5803,0.6703
314,4,0.0294,0.5563,0.5856
318,18,0.2401,0.5501,0.7902
321,6,0.1030,0.6031,0.7061
323,392,0.2207,0.2549,0.4757
324,3,0.0486,0.4983,0.5468
325,5,0.0371,0.5231,0.5602
328,7,0.0302,0.5645,0.5947
329,3,0.1303,0.6799,0.8103
330,7,0.0780,0.5106,0.5887
332,235,0.4374,0.2882,0.7257
333,3,0.0333,0.5443,0.5775
337,4,0.0697,0.5165,0.5861
338,2,0.0078,0.7557,0.7635
339,81,0.1909,0.2980,0.4889
340,75,0.2312,0.4702,0.7014
341,4,0.0356,0.4693,0.5050
342,15,0.1800,0.5558,0.7358
344,83,0.2658,0.3278,0.5936
345,13,0.0719,0.5169,0.5888
346,5,0.0675,0.4808,0.5483
348,2,0.0228,0.6653,0.6881
350,7,0.1133,0.4459,0.5592
351,286,0.2177,0.3043,0.5220
352,2,0.0260,0.5843,0.6104
353,44,0.1394,0.5076,0.6470
354,2,0.0399,0.8452,0.8851
355,100,0.2778,0.3895,0.6674
357,3,0.0139,0.6051,0.6191
360,30,0.2745,0.4312,0.7057
362,78,0.1490,0.3974,0.5464
363,8,0.0771,0.5541,0.6312
365,2,0.0993,0.6790,0.7783
367,6,0.0741,0.7054,0.7795
368,12,0.1040,0.4935,0.5975
369,3,0.0567,0.4084,0.4651
372,3,0.0577,0.5849,0.6426
374,554,0.2586,0.2275,0.4861
375,3,0.0395,0.4365,0.4760
378,75,0.2752,0.3720,0.6472
379,2,0.0323,0.7197,0.7520
383,8,0.0625,0.5440,0.6065
386,4,0.0570,0.7461,0.8031
389,4,0.0966,0.4078,0.5043
390,11,0.1124,0.6299,0.7423
395,11,0.1028,0.6135,0.7163
396,2,0.0130,0.6535,0.6665
397,10,0.1069,0.4526,0.5595
399,53,0.2457,0.4185,0.6642
400,59,0.2065,0.3807,0.5871
401,35,0.1610,0.4775,0.6386
402,4,0.0388,0.7339,0.7727
403,5,0.0294,0.6678,0.6972
404,3,0.0715,0.7191,0.7906
405,68,0.1570,0.5020,0.6590
409,3,0.0718,0.6362,0.7080
410,280,0.3005,0.2385,0.5391
412,136,0.3033,0.3739,0.6773
413,10,0.0768,0.3711,0.4478
415,210,0.2846,0.3556,0.6402
416,234,0.2180,0.3414,0.5594
418,3,0.0023,0.5052,0.5075
419,47,0.1736,0.4071,0.5807
421,33,0.1057,0.3697,0.4754
422,39,0.1734,0.4883,0.6617
423,2,0.0370,0.5695,0.6065
